User,Tweet ID,Date Created,Source of Tweet,Tweet,labelling,tweet2
txtdariitadii,1.4927380063648686e+18,2022-02-13 05:50:49+00:00,Twitter for Android,"@Mpok_Hanum @irfanataulawal @Argo_Muria_ @luthfilik @basboi_ mungkin krn kondisi maskapai jg bnyk shg sulit menyeragamkan standar prosedur. kalo KAI, yg make rel kereta ya cm KAI. kalo bandara, kan bnyk dipake maskapai. toh kalo mau bandingin KAI ya berarti sama garuda krna sama2 BUMN dg pelayanan yg baik. setau sy, garuda gk prlu foto2 lg",1.0,mungkin krn kondisi maskapai jg bnyk shg sulit menyeragamkan standar prosedur kalo kai yg make rel kereta ya cm kai kalo bandara kan bnyk dipake maskapai toh kalo mau bandingin kai ya berarti sama garuda krna bumn dg pelayanan yg baik setau sy garuda gk prlu lg
tokopediaan,1.50405388529161e+18,2022-03-16 11:16:04+00:00,Twitter for Android,"@MustEkeph @segopecels @Risdiyan @fajarnugros garuda gada masalah di pelayanan ke penumpang, semua penumpang bayar ga kyk kereta dulu.

kebobrokan GA itu di dalam kubu pejabat &amp; karyawannya",2.0,garuda gada masalah di pelayanan ke penumpang semua penumpang bayar ga kyk kereta dulu kebobrokan ga itu di dalam kubu pejabat amp karyawannya
OppaHan4,1.5626885864490437e+18,2022-08-25 06:29:27+00:00,Twitter for Android,"@Nusabogor Menurut pendapat saya, ini adalah saat yang tepat bagi @Garuda_Promo @IndonesiaGaruda  untuk melakukan Gerakan ""Taking Profit"" dgn menambah Armada dan frekwensi penerbangannya, jangan terlalu fokus pada Bisnis Oriented sehingga meninggalkan/membatasi pelayanan DN. 

@KemenBUMN",1.0,menurut pendapat saya ini adalah saat yang tepat bagi untuk melakukan gerakan taking profit dgn menambah armada dan frekwensi penerbangannya jangan terlalu fokus pada bisnis oriented sehingga meninggalkanmembatasi pelayanan dn
WeAre_GARUDA,1.5018208761482527e+18,2022-03-10 07:22:54+00:00,Twitter Web App,"@PlateJohnny @kemkominfo Dimana penghargaan tersebut, diberikan
sebagai pembina pelayanan publik atas hasil evaluasi
dari
kinerja unit pelayanan publik @kemkominfo  selama periode 2021..

@PlateJohnny 

https://t.co/UftzWjVO1s",1.0,dimana penghargaan tersebut diberikan sebagai pembina pelayanan publik atas hasil evaluasi dari kinerja unit pelayanan publik selama periode
PendiriRepublik,1.524239733567545e+18,2022-05-11 04:07:26+00:00,Twitter for Android,"@TirtoID mental priyai masih beranak pinak dalam diri anak bangsa ini 😀😀😀😀😀😀😀😀😀 pak @erickthohir  pecaaatttt dirut garuda sekarang juga !!! bpk yang berminat menjadi presiden RI mesti bertindak, ini kesalahan patal dalam sistem dan etika pelayanan publik, pak eric brani gk ya 😀",0.0,mental priyai masih beranak pinak dalam diri anak bangsa ini 😀😀😀😀😀😀😀😀😀 pak pecaaatttt dirut garuda sekarang juga bpk yang berminat menjadi presiden ri mesti bertindak ini kesalahan patal dalam sistem dan etika pelayanan publik pak eric brani gk ya 😀
IndonesiaGaruda,1.5564201119755835e+18,2022-08-07 23:20:46+00:00,Socio Enterprise,"@Toejoe48827068 Baik, terima kasih atas laporannya. Hal ini akan segera kami evaluasikan guna perbaikan dan peningkatan kualitas pelayanan kami ke depanya. Tidak lupa kami ucapkan terima kasih karena telah menjadi pelanggan Garuda Indonesia. - Lea",1.0,baik terima kasih atas laporannya hal ini akan segera kami evaluasikan guna perbaikan dan peningkatan kualitas pelayanan kami ke depanya tidak lupa kami ucapkan terima kasih karena telah menjadi pelanggan garuda indonesia lea
IndonesiaGaruda,1.5460562928545628e+18,2022-07-10 08:58:39+00:00,Socio Enterprise,@alrahzal Kami ucapkan terima kasih atas apresiasi yang Anda sampaikan. Kami berupaya untuk meningkatkan pelayanan kepada seluruh penumpang Garuda Indonesia :) - Hendry,1.0,kami ucapkan terima kasih atas apresiasi yang anda sampaikan kami berupaya untuk meningkatkan pelayanan kepada seluruh penumpang garuda indonesia hendry
ntasanusa,1.5236336639292908e+18,2022-05-09 11:59:07+00:00,Twitter for Android,"@alvinlie21 @AbanggSayur @sashymymahal @IndonesiaGaruda Mantab pak @alvinlie21 ... kejadian spt ini harus disudahi di Garuda, masa iya pelayanan @IndonesiaGaruda kalah sama layanan @PT_Transjakarta yg satpamnya berani negur dan mindahin penumpang yg pake tempat duduk prioritas 🙂",0.0,mantab pak kejadian spt ini harus disudahi di garuda masa iya pelayanan kalah sama layanan yg satpamnya berani negur dan mindahin penumpang yg pake tempat duduk prioritas 🙂
IndonesiaGaruda,1.4858100549853143e+18,2022-01-25 03:01:36+00:00,Socio Enterprise,"@andrehizkey Sekali lagi mohon maaf atas ketidaknyamanan Anda. Hal ini akan kami bantu follow up secara internal, guna perbaikan dan peningkatan kualitas pelayanan kami ke depannya. Tidak lupa kami ucapkan terima kasih karena telah menjadi pelanggan Garuda Indonesia. - Lea",1.0,sekali lagi mohon maaf atas ketidaknyamanan anda hal ini akan kami bantu follow up secara internal guna perbaikan dan peningkatan kualitas pelayanan kami ke depannya tidak lupa kami ucapkan terima kasih karena telah menjadi pelanggan garuda indonesia lea
GarudaCares,1.5814091697476362e+18,2022-10-15 22:18:21+00:00,TweetDeck,@angieagatha Mohon maaf atas ketidaknyamanannya. Kami menyayangkan atas pelayanan yang tidak berkenan tersebut dan akan memperbaiki serta meningkatkan pelayanan agar hal seperti ini tidak terjadi kembali pada pelanggan setia kami. Terima kasih telah menjadi Pelanggan Garuda Indonesia. - Robby,0.0,mohon maaf atas ketidaknyamanannya kami menyayangkan atas pelayanan yang tidak berkenan tersebut dan akan memperbaiki serta meningkatkan pelayanan agar hal seperti ini tidak terjadi kembali pada pelanggan setia kami terima kasih telah menjadi pelanggan garuda indonesia robby
haoareyoou,1.520979360013947e+18,2022-05-02 04:11:52+00:00,Twitter for Android,"@bakpao_ijo harga murah tp tepat waktu kecepatan no.1, kalo garuda indonesia pelayanan no.1. Sebong kira kira pilih yg mana",2.0,harga murah tp tepat waktu kecepatan kalo garuda indonesia pelayanan sebong kira kira pilih yg mana
akuultraman_,1.4795792754307525e+18,2022-01-07 22:22:43+00:00,Twitter for Android,"@bvskuat @Ninkolaus @convomf Beda pelayanan mbak :( Lion Air termasuk golongan maskapai Low Cost Carrier jadi layanan catering emg ga ada dan seat nya dimaksimalkan, kalo Garuda masuk golongan Full Service Airline seperti Batik air",0.0,beda pelayanan mbak lion air termasuk golongan maskapai low cost carrier jadi layanan catering emg ga ada dan seat nya dimaksimalkan kalo garuda masuk golongan full service airline seperti batik air
RGumilangHP,1.5186227833367552e+18,2022-04-25 16:07:40+00:00,Twitter for Android,"@detikcom Kok lion air yg katanya pelayanan nya kurang baik, bisa bertahan dan berkembang ya, blm lama bikin anak perusahaan baru, super air jet. Berarti kan untung? Kok garuda rugi melulu?",0.0,kok lion air yg katanya pelayanan nya kurang baik bisa bertahan dan berkembang ya blm lama bikin anak perusahaan baru super air jet berarti kan untung kok garuda rugi melulu
putranebutejo,1.4935516838502277e+18,2022-02-15 11:44:04+00:00,Twitter for Android,"@didietmaulana @IndonesiaGaruda Keren banget✅
Mudah2an Garuda Indonesia terus mengudara &amp; mampu memberikan pelayanan to the Max.
Jujur aja seumur2 gw baru naik Garuda 1x dg experience yg 👍",2.0,keren banget✅ garuda indonesia terus mengudara amp mampu memberikan pelayanan to the max jujur aja gw baru naik garuda dg experience yg 👍
abbynfam,1.4872292726246318e+18,2022-01-29 01:01:04+00:00,Twitter for Android,"@erickthohir @IndonesiaGaruda Semangat kementerian dgn program Restrukturisasi
Semoga lancar pak semoga PT Garuda Indonesia Maju kembali dan untung  pastinya

Sama tiket nya pak biar kasih murah dong bersaing harga dgn maskapai lain  tanpa menurun kan kwalitas pelayanan 😍😍",2.0,semangat kementerian dgn program restrukturisasi semoga lancar pak semoga pt garuda indonesia maju kembali dan untung pastinya sama tiket nya pak biar kasih murah dong bersaing harga dgn maskapai lain tanpa menurun kan kwalitas pelayanan 😍😍
Mahesaoke1993,1.5157494283424563e+18,2022-04-17 17:49:59+00:00,Twitter Web App,"@erickthohir Assalamualaikum pak,hari ini kami mendapat pelayanan terburuk dr garuda..kami 6 orang kehilangan bagasi.penerbangan GA 8310 brunei jkt https://t.co/rUvaCPvwf8",0.0,assalamualaikum pakhari ini kami mendapat pelayanan terburuk dr garudakami orang kehilangan bagasipenerbangan ga brunei jkt
IndonesiaGaruda,1.4994063269923676e+18,2022-03-03 15:28:20+00:00,Twitter Web App,@erickthohir Terima kasih telah mengunjungi lounge kami Pak Erick Thohir. Kami akan terus berupaya menyediakan pelayanan terbaik bagi seluruh penumpang Garuda. - Kevin,1.0,terima kasih telah mengunjungi lounge kami pak erick thohir kami akan terus berupaya menyediakan pelayanan terbaik bagi seluruh penumpang garuda kevin
brianimannudin,1.5667647716212165e+18,2022-09-05 12:26:45+00:00,Twitter Web App,"@filter25570374 @esesfpvebd @Deblenk55029099 @PT_Transjakarta bayar 3500 perak pengen pelayanan Garuda dia bang,nunggu angkot jaklingko yg gratis aja dia ngeluh
emang taik manusia kayak dia mau keluar duit dikit tapi pengen dapat servis  seperti komisaris",0.0,bayar perak pengen pelayanan garuda dia bangnunggu angkot jaklingko yg gratis aja dia ngeluh emang taik manusia kayak dia mau keluar duit dikit tapi pengen dapat servis seperti komisaris
aforann,1.495349975378641e+18,2022-02-20 10:49:51+00:00,Twitter for Android,"@firagayatri Bunuh pelayanan hotel dihukum cm 3 tahun , korupsi pesawat garuda , dkk gilaaa nih orang otaknya level iblis keknya , duit banyak dr hal ga bener dr jaman orba",0.0,bunuh pelayanan hotel dihukum cm tahun korupsi pesawat garuda dkk gilaaa nih orang otaknya level iblis keknya duit banyak dr hal ga bener dr jaman orba
ardanisbergas,1.578204891037991e+18,2022-10-07 02:05:42+00:00,Twitter for iPhone,"@indoflyer Livery pertama, pelayanan terbaik SJ pas masa masa itu. Airlines tanggung pilihan pebisnis/pelancong yang mau beli tiket Garuda kemahalan tapi ogah naik Lion, mana pilot seniornya banyak yang receh lagi kalo lagi nyambut penumpang onboard 😂",1.0,livery pertama pelayanan terbaik sj pas masa masa itu airlines tanggung pilihan pebisnispelancong yang mau beli tiket garuda kemahalan tapi ogah naik lion mana pilot seniornya banyak yang receh lagi kalo lagi nyambut penumpang onboard 😂
hanshohoho,1.5417914293069865e+18,2022-06-28 14:31:36+00:00,Twitter for Android,"@indoflyer Selama ini naik garuda selalu dpt pelayanan terbaik, dari mulai customer service yang helpful dan jelas, crew cabin yang baik dan merasa aman dalam perjalanan krn suka pergerakan pesawat ketauan, informasi cuaca dsb. Dulu langganan JKT-BPN hehe",2.0,selama ini naik garuda selalu dpt pelayanan terbaik dari mulai customer service yang helpful dan jelas crew cabin yang baik dan merasa aman dalam perjalanan krn suka pergerakan pesawat ketauan informasi cuaca dsb dulu langganan jktbpn hehe
AndikaLangit,1.541595626089349e+18,2022-06-28 01:33:33+00:00,Twitter for iPhone,"@indoflyer naik garuda pas lebaran kmrn ke Bali, tp ada miss dari petugas tiketnya, jadi harus bolak balik dari ruang tunggu ke depan lagi. Tapi untuk pelayanan di dalam pswt nya bagus, take off landing halus 👍🏻",0.0,naik garuda pas lebaran kmrn ke bali tp ada miss dari petugas tiketnya jadi harus bolak balik dari ruang tunggu ke depan lagi tapi untuk pelayanan di dalam pswt nya bagus take off landing halus 👍🏻
arishaaurora,1.5713031585840783e+18,2022-09-18 01:00:41+00:00,Twitter for Android,"@jaksapedia Garuda ini memang menorehkan prestasi karena pelayanan nya namun di internal sendiri masih banyak korupsi nya pak, usut tuntas pak @ST_Burhanuddin @KejaksaanRI",2.0,garuda ini memang menorehkan prestasi karena pelayanan nya namun di internal sendiri masih banyak korupsi nya pak usut tuntas pak
Taqim35937476,1.5238331492599194e+18,2022-05-10 01:11:48+00:00,Twitter for iPhone,@jokowi @DPR_RI @erickthohir pelayanan garuda adalah pelayanan terburuk karena hanya memandang org berkelas. Org2nya sdh terbiasa pilah pilih konsumen. Garuda bisa bagus kalau di rombak 100% https://t.co/8MspT8yqan,0.0,pelayanan garuda adalah pelayanan terburuk karena hanya memandang org berkelas sdh terbiasa pilah pilih konsumen garuda bisa bagus kalau di rombak
maroonslegacy,1.5715500295713014e+18,2022-09-18 17:21:39+00:00,Twitter Web App,@kvnds @zahirsryp @_buberly_ @commaditya mending citilink kalau mau budget flight(s) tapi masih standar garuda (satu grup). minus di konsumsi aja sih cuma selain itu mulus2 aja sih koper selamat pelayanan oke ga delay,2.0,mending citilink kalau mau budget flights tapi masih standar garuda satu grup minus di konsumsi aja sih cuma selain itu aja sih koper selamat pelayanan oke ga delay
s_maretha,1.4874109664552264e+18,2022-01-29 13:03:03+00:00,Twitter for iPhone,@naeput2 @BGSMK27 @rivaanggara @asumsico Batik juga punya lion group. Untungnya batik beda management sm lion jd bisa bersaing sama garuda sih dr pelayanan sampe kenyamanan armadanya.,2.0,batik juga punya lion group untungnya batik beda management sm lion jd bisa bersaing sama garuda sih dr pelayanan sampe kenyamanan armadanya
keyshapuspaapr1,1.5271122678837576e+18,2022-05-19 02:21:51+00:00,Twitter for Android,"@nctzenbase Gue percaya Garuda
Semoga mereka nyaman sama pelayanan yang garuda kasih",2.0,gue percaya garuda semoga mereka nyaman sama pelayanan yang garuda kasih
JIlham_ECE,1.539500641315197e+18,2022-06-22 06:48:50+00:00,Twitter Web App,"@noire172 Sbg calon penumpang, gw bingung apa keunggulan Garuda selain pelayanan (khusus domestik). Jumlah rute domestik kalah sama grup Lion...",2.0,sbg calon penumpang gw bingung apa keunggulan garuda selain pelayanan khusus domestik jumlah rute domestik kalah sama grup lion
garuda_cargo,1.5265839413516288e+18,2022-05-17 15:22:28+00:00,Twitter Web App,"@prierik Informasi Anda akan menjadi evaluasi kami, semoga pelayanan kami kedepan dapat lebih baik lagi. Terima kasih. - Davi",1.0,informasi anda akan menjadi evaluasi kami semoga pelayanan kami kedepan dapat lebih baik lagi terima kasih davi
loghanaja,1.52758882215791e+18,2022-05-20 09:55:31+00:00,Twitter for iPhone,"@prstxt_ @kpertiwi29 Nah ini mba, pns yg sering ditemui oleh masyarakat adalah pns pelayanan, sehingga msyarakat menyamaratakan pns, padahal gak semua pelayanan..

Ibarat bumn ada telkom ada pln, yg selalu di serang kan telkom karna indihome yg gangguan terus.. pertamina garuda dll biasa2 aja",1.0,nah ini mba pns yg sering ditemui oleh masyarakat adalah pns pelayanan sehingga msyarakat menyamaratakan pns padahal gak semua pelayanan ibarat bumn ada telkom ada pln yg selalu di serang kan telkom karna indihome yg gangguan terus pertamina garuda dll aja
kirarance,1.5696145695382282e+18,2022-09-13 09:10:50+00:00,Twitter for iPhone,"@romeogadungan @IndonesiaGaruda Makasih Kak infonyaa berguna bangett! 
Saya juga wheelchair user dan ragu buat berpergian pake pesawat, ternyata Garuda punya pelayanan yang oke buat disabilitas. 
Takut banget dipaksa turun tangga🥺",2.0,makasih kak infonyaa berguna bangett saya juga wheelchair user dan ragu buat berpergian pake pesawat ternyata garuda punya pelayanan yang oke buat disabilitas takut banget dipaksa turun tangga🥺
indo_per,1.531070474532569e+18,2022-05-30 00:30:21+00:00,Twitter for Android,"@sandiuno 273,5 jt pnddk Indonesia, punya talen masing""mas. Motivasi berprestasi sangat besar, semangat mengharumkan Indonesia jelas garuda didadaku pokoknya. Yg kurang tuh kecintaan pada masyarakat (baik pendidikan, kesehatan, ekonomi, pelayanan, dll) dri tuan"". Yang...",2.0,jt pnddk indonesia punya talen masingmas motivasi berprestasi sangat besar semangat mengharumkan indonesia jelas garuda didadaku pokoknya yg kurang tuh kecintaan pada masyarakat baik pendidikan kesehatan ekonomi pelayanan dll dri tuan yang
La22109872,1.523816162059899e+18,2022-05-10 00:04:18+00:00,Twitter for Android,@sashymymahal @IndonesiaGaruda Beginikah pelayanan garuda pak @erickthohir ?,0.0,beginikah pelayanan garuda pak
kofvaletta,1.5236063957652726e+18,2022-05-09 10:10:46+00:00,Twitter for iPhone,@sashymymahal @SocialiteGhibah @IndonesiaGaruda Masih ada yg mau naik garuda ya? Harga paling mahal pelayanan paling memble,0.0,masih ada yg mau naik garuda ya harga paling mahal pelayanan paling memble
Garudacaress,1.52867083715047e+18,2022-05-23 09:35:03+00:00,Twitter for Android,"@sashymymahall Halo Kak @sashymymahall! Sebelumnya, kami dari pihak Garuda Indonesia meminta maaf atas ketidaknyamanan perjalanan dan pelayanan yang dialami Kak @sashymymahall. Kami sangat menyesal atas kejadian yang menimpa Kakak🙏.",0.0,halo kak sebelumnya kami dari pihak garuda indonesia meminta maaf atas ketidaknyamanan perjalanan dan pelayanan yang dialami kak kami sangat menyesal atas kejadian yang menimpa kakak🙏
fcabbu,1.560155052513235e+18,2022-08-18 06:42:05+00:00,Twitter for Android,"@seruanhl @erickthohir @AntoniusCDN @03__nakula @NgkongRoses @chaterine_8 @denni_sauya @farrel27 @_antaresh29 @gwenkyute @yarachantique @terbucinz Maskapai Garuda ini emang unik,hrg tiket bisa 2x lipat dri yg swasta tapi rugi trs. Lha sdgkan yg swasta gak ada tuh klaim rugi? Aneh kan?  Pelayanan dan pesawat sama aja kok? Tapi banyak org pd bangga klu naik Garuda,tapi aku tidak. Apanya yg mau dibanggain? Harga tiket?",0.0,maskapai garuda ini emang unikhrg tiket bisa lipat dri yg swasta tapi rugi trs lha sdgkan yg swasta gak ada tuh klaim rugi aneh kan pelayanan dan pesawat sama aja kok tapi banyak org pd bangga klu naik garudatapi aku tidak apanya yg mau dibanggain harga tiket
gori_191,1.5235098017533215e+18,2022-05-09 03:46:56+00:00,Twitter for Android,"@susipudjiastuti @elonmusk Kalo ada saingan jadi ada kompetisi, kompetisi untuk melayani, sehingga pelayanan akan terus dioptimalkan.

Kalo pemain tunggal, mau seenaknya juga customer ga ada pilihan. 

Nyatanya dunia penerbangan bisa kok Garuda disaingi maskapai lain bukan?",0.0,kalo ada saingan jadi ada kompetisi kompetisi untuk melayani sehingga pelayanan akan terus dioptimalkan kalo pemain tunggal mau seenaknya juga customer ga ada pilihan nyatanya dunia penerbangan bisa kok garuda disaingi maskapai lain bukan
albedobekasi,1.5642675467856404e+18,2022-08-29 15:03:40+00:00,Twitter for Android,"@theaaotherwomen sama-sama, semoga anda menikmati pelayanan garuda airlines",2.0,samasama semoga anda menikmati pelayanan garuda airlines
